"","UNQ_ID","CI","CYAN_Date","CI_Actual","CellCount"
"7397","SLR_02",0,2020-05-07,6.30957344480193e-05,6309.57344480193
"7398","SLR_01",80,2020-05-08,0.000575439937337157,57543.9937337157
"7399","SLR_10",0,2020-05-08,6.30957344480193e-05,6309.57344480193
"7400","SLR_09",55,2020-05-08,0.000288403150312661,28840.3150312661
"7401","SLR_08",91,2020-05-08,0.000779830110523259,77983.0110523258
"7402","SLR_07",96,2020-05-08,0.000895364765549594,89536.4765549594
"7403","SLR_06",112,2020-05-08,0.0013931568029453,139315.68029453
"7404","SLR_05",0,2020-05-08,6.30957344480193e-05,6309.57344480193
"7405","SLR_04",0,2020-05-08,6.30957344480193e-05,6309.57344480193
"7406","SLR_03",0,2020-05-08,6.30957344480193e-05,6309.57344480193
"7407","SLR_02",93,2020-05-08,0.000824138115013002,82413.8115013002
"7408","SLR_01",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7409","SLR_10",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7410","SLR_08",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7411","SLR_07",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7412","SLR_06",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7413","SLR_05",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7414","SLR_04",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7415","SLR_03",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7416","SLR_02",0,2020-05-09,6.30957344480193e-05,6309.57344480193
"7417","SLR_01",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7418","SLR_10",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7419","SLR_09",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7420","SLR_08",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7421","SLR_07",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7422","SLR_06",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7423","SLR_05",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7424","SLR_04",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7425","SLR_03",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7426","SLR_02",0,2020-05-10,6.30957344480193e-05,6309.57344480193
"7427","SLR_01",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7428","SLR_10",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7429","SLR_09",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7430","SLR_08",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7431","SLR_07",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7432","SLR_06",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7433","SLR_05",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7434","SLR_04",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7435","SLR_03",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7436","SLR_02",0,2020-05-11,6.30957344480193e-05,6309.57344480193
"7437","SLR_01",0,2020-05-12,6.30957344480193e-05,6309.57344480193
"7438","SLR_10",0,2020-05-12,6.30957344480193e-05,6309.57344480193
"7439","SLR_07",0,2020-05-12,6.30957344480193e-05,6309.57344480193
"7440","SLR_06",0,2020-05-12,6.30957344480193e-05,6309.57344480193
